OrgId,AddressId,Contenta,isSubOrg
626,239,Cukurova Univ,0
627,239,Cukurova University,0
628,240,Yeditepe Univ,0
629,240,Yeditepe University,0
630,241,Istanbul Univ,0
631,241,Istanbul University,0
632,242,Dr Behcet Uz Training Hosp,0
633,243,Gazi Univ,0
634,243,Gazi University,0
635,244,Bogazici Univ,0
636,244,Bogazici University,0
637,245,Ege Univ,0
638,245,Ege University,0
639,246,19 Mayis Univ,0
640,246,Ondokuz Mayis University,0
641,247,Diskapi Yildirim Beyazit Hosp,0
642,247,Diskapi Yildirim Beyazit Training & Research Hospital,0
643,248,Gazi Univ,0
644,248,Gazi University,0
645,249,Cukurova Univ,0
646,249,Cukurova University,0
647,250,Istanbul Cerrahpasa Univ,0
648,250,Istanbul University - Cerrahpasa,0
649,251,Gazi Univ Hosp,0
650,251,Gazi University,0
651,252,Istanbul Univ,0
652,252,Istanbul University,0
653,253,Karadeniz Teknik Univ,0
654,253,Karadeniz Technical University,0
655,254,Ege Univ Hosp,0
656,254,Ege University,0
657,255,Kanuni Sultan Suleyman Hosp,0
658,255,Istanbul Kanuni Sultan Suleyman Training & Research Hospital,0
659,256,Acibadem Hosp,0
660,256,Acibadem Hastaneleri,0
661,257,Istanbul Univ,0
662,257,Istanbul University,0
663,258,Akdeniz Univ,0
664,258,Akdeniz University,0
665,258,Akdeniz University Medical School,0
666,259,Cukurova Univ,0
667,259,Cukurova University,0
668,260,Antalya Training & Res Hosp,0
669,260,Antalya Training & Research Hospital,0
670,261,Antakya State Hosp,0
671,261,Hatay Antakya State Hospital,0
672,262,Kanuni Sultan Suleyman Training & Res Hosp,0
673,262,Istanbul Kanuni Sultan Suleyman Training & Research Hospital,0
674,263,Denizli State Hosp,0
675,263,Denizli State Hospital,0
676,264,Dr Behcet Uz Child Dis Surg Training & Res Hosp,0
677,264,Izmir Dr Behcet Uz Children's Disease & Surgery Training & Research Hospital,0
678,265,Dortcelik Child Dis Hosp,0
679,266,Mersin Univ,0
680,266,Mersin University,0
681,267,Necmettin Erbakan Univ,0
682,267,Necmettin Erbakan University,0
683,267,Selcuk University,0
684,268,Adnan Menderes Univ,0
685,268,Adnan Menderes University,0
686,269,Okmeydani Training & Res Hosp,0
687,269,Istanbul Okmeydani Training & Research Hospital,0
688,270,Uludag Univ,0
689,270,Uludag University,0
690,271,Hematol Oncol Training & Res Hosp,0
691,271,Ankara Children's Hematology Oncology Training & Research Hospital,0
692,272,Hacettepe Univ,0
693,272,Hacettepe University,0
694,273,Goztepe Training & Res Hosp,0
695,273,Istanbul Goztepe Training and Research Hospital,0
696,274,Dicle Univ,0
697,274,Dicle University,0
698,274,Dicle University Medical Faculty,0
699,275,Harran Univ,0
700,275,Harran University,0
701,276,Ankara Univ,0
702,276,Ankara University,0
703,276,Ankara University Faculty of Medicine,0
704,277,Sisli Etfal Training & Res Hosp,0
705,277,Istanbul Sisli Hamidiye Etfal Training & Research Hospital,0
706,278,Dokuz Eylul Univ,0
707,278,Dokuz Eylul University,0
708,279,Istanbul Univ,0
709,279,Istanbul University - Cerrahpasa,0
710,279,Istanbul University,0
711,279,Istanbul University-Cerrahpasa Cerrahpasa Faculty of Medicine,0
712,280,Trakya Univ,0
713,280,Trakya University,0
714,281,Pamukkale Univ,0
715,281,Pamukkale University,0
716,282,Gazi Univ,0
717,282,Gazi University,0
718,283,Istanbul Zeynep Kamil Women & Childrens Dis Raini,0
719,284,Novartis Saglik Gida & Tarim Urunleri San & Tic A,0
720,285,Erciyes Univ,0
721,285,Erciyes University,0
722,286,Cukurova Univ,0
723,286,Cukurova University,0
724,287,Ege Univ,0
725,287,Ege University,0
726,287,Ege University Faculty of Pharmacy,0
727,288,Ege Univ,0
728,288,Ege University,0
729,288,Ege University Faculty of Pharmacy,0
730,289,Cukurova Univ,0
731,289,Cukurova University,0
732,290,Ege Univ,0
733,290,Ege University,0
734,290,Ege University Faculty of Pharmacy,0
735,291,Ege Univ,0
736,291,Ege University,0
737,291,Ege University Faculty of Dentistry,0
738,292,Univ Cukurova,0
739,292,Cukurova University,0
740,293,Univ Cukurova,0
741,293,Cukurova University,0
742,294,Univ Cukurova,0
743,294,Cukurova University,0
744,295,Cukurova Univ,0
745,295,Cukurova University,0
746,295,Cukurova University Faculty of Medicine,0
747,296,Cukurova Univ,0
748,296,Cukurova University,0
749,296,Cukurova University Faculty of Medicine,0
750,297,Cukurova Univ,0
751,297,Cukurova University,0
752,297,Cukurova University Faculty of Medicine,0
753,298,Cukurova Univ,0
754,298,Cukurova University,0
755,298,Cukurova University Faculty of Medicine,0
756,298,Cukurova University Faculty of Medicine,0
757,298,Cukurova University Department of Internal Medicine,0
758,299,Cukurova Univ,0
759,299,Cukurova University,0
760,300,Erciyes Univ,0
761,300,Erciyes University,0
762,300,Erciyes University Faculty of Health Sciences,0
763,301,Cukurova Univ,0
