AddressId,HitId,addr_no,city,country,full_address
5830,2365,143,Buenos Aires,Argentina,"Hosp Italiano Buenos Aires, Buenos Aires, DF, Argentina"
5831,2365,144,Santa Fe,Argentina,"Hosp Prov Dr Jose Maria Cullen, Santa Fe, Santa Fe, Argentina"
5832,2365,145,San Nicolas,Argentina,"Inst Invest Clin San Nicolas, San Nicolas, Buenos Aires, Argentina"
5833,2365,146,CABA,Argentina,"Sanatorio Guemes, CABA, Buenos Aires, Argentina"
5834,2365,147,Cordoba,Argentina,"Ctr Med Luquez, Cordoba, Argentina"
5835,2365,148,Almirante Brown,Argentina,"Clin Inst Med Adrogue, Almirante Brown, Buenos Aires, Argentina"
5836,2365,149,Salta,Argentina,"Sanatorio Parque SA, Salta, Argentina"
5837,2365,150,Rosario,Argentina,"Inst Cardiovasc Rosario, Rosario, Santa Fe, Argentina"
5838,2365,151,Santa Fe,Argentina,"Clin Parra Ctr Invest Clin Rafaela, Santa Fe, Argentina"
5839,2365,152,San Martin,Argentina,"Hosp Interzonal Gen Agudos Eva Peron, San Martin, Buenos Aires, Argentina"
5840,2365,153,Coffs Harbour,Australia,"Coffs Harbour Hlth Campus, Coffs Harbour, NSW, Australia"
5841,2365,154,New Lambton Hts,Australia,"John Hunter Hosp, New Lambton Hts, NSW, Australia"
5842,2365,155,Mildura,Australia,"Mildura Cardiol, Mildura, Victoria, Australia"
5843,2365,156,Adelaide,Australia,"South Australian Hlth & Med Res Inst, Flinders Univ & Med Ctr, Adelaide, SA, Australia"
5844,2365,157,Bruce,Australia,"Calvary Clin, Bruce, Australia"
5845,2365,158,Prahran,Australia,"Alfred Hosp, Prahran, Vic, Australia"
5846,2365,159,Elizabeth Vale,Australia,"Northern Cardiol & Specialist Clin, Elizabeth Vale, Australia"
5847,2365,160,Woodville,Australia,"Queen Elizabeth Hosp, Woodville, SA, Australia"
5848,2365,161,Gosford,Australia,"Gosford Hosp, Gosford, Australia"
5849,2365,162,Auchenflower,Australia,"Wesley Med Ctr, Auchenflower, QLD, Australia"
5850,2365,163,Ballarat,Australia,"Ballarat Hlth Serv, Ballarat, Vic, Australia"
5851,2365,164,Hobart,Australia,"Royal Hobart Hosp, Hobart, Tas, Australia"
5852,2365,165,Chermside,Australia,"Prince Charles Hosp, Chermside, QLD, Australia"
5853,2365,166,Adelaide,Australia,"Adelaide Med Res, Adelaide, SA, Australia"
5854,2365,167,Chermside,Australia,"Holy Spirit Northside Hosp, Chermside, Qld, Australia"
5855,2365,168,Nambour,Australia,"Nambour Gen Hosp, Nambour, Qld, Australia"
5856,2365,169,Woolloongabba,Australia,"Princess Alexandra Hosp, Woolloongabba, Qld, Australia"
5857,2365,170,Cairns,Australia,"Cairns Hosp, Cairns, QLD, Australia"
5858,2365,171,Kogarah,Australia,"St George Hosp, Kogarah, NSW, Australia"
5859,2365,172,Redcliffe,Australia,"Redcliffe Hosp, Redcliffe, QLD, Australia"
5860,2365,173,Richmond,Australia,"Epworth Healthcare, Richmond, Vic, Australia"
5861,2365,174,Graz,Austria,"Univ Klinikum Graz, Graz, Austria"
5862,2365,175,Salzburg,Austria,"Univ Klinikum Salzburg, Salzburg, Austria"
5863,2365,176,Feldkirch,Austria,"Vorarlberg Inst Vaskulare Forsch VIVIT, Feldkirch, Austria"
5864,2365,177,Vienna,Austria,"Wilhelminenspital Stadt Wien, Vienna, Austria"
5865,2365,178,Eisenstadt,Austria,"KH Barmherzigen Bruder Eisenstadt, Kardiol & Nephrol, Eisenstadt, Austria"
5866,2365,179,Vienna,Austria,"Krankenanstalt Rudolfstiftung Stadt Wien, Vienna, Austria"
5867,2365,180,Overpelt,Belgium,"Mariaziekenhuis Vzw, Overpelt, Belgium"
5868,2365,181,Ghent,Belgium,"AZ St Lucas, Ghent, Belgium"
5869,2365,182,Ottignies,Belgium,"Clin St Pierre, Ottignies, Belgium"
5870,2365,183,La Louviere,Belgium,"CHU Tivoli, La Louviere, Belgium"
5871,2365,184,Liege,Belgium,"CHR Citadelle, Liege, Belgium"
5872,2365,185,Leuven,Belgium,"UZ Leuven, Leuven, Belgium"
5873,2365,186,Genk,Belgium,"ZOL, Genk, Belgium"
5874,2365,187,Tienen,Belgium,"Private Practice, Tienen, Belgium"
5875,2365,188,Antwerp,Belgium,"ZNA Stuivenberg, Antwerp, Belgium"
5876,2365,189,Brussels,Belgium,"Clin St Jean, Brussels, Belgium"
5877,2365,190,Roeselare,Belgium,"AZ Delta, Roeselare, Belgium"
5878,2365,191,Brussels,Belgium,"UCL St Luc, Brussels, Belgium"
5879,2365,192,Mechelen,Belgium,"AZ St Maarten, Mechelen, Belgium"
5880,2365,193,Mol,Belgium,"Heilig Hart Ziekenhuis, Mol, Belgium"
5881,2365,194,Antwerp,Belgium,"ZNA Middelheim, Antwerp, Belgium"
5882,2365,195,Bonheiden,Belgium,"Imelda Hosp, Bonheiden, Belgium"
5883,2365,196,Aalst,Belgium,"OL Vrouwziekenhuis Campus Aalst, Aalst, Belgium"
5884,2365,197,Edegem,Belgium,"UZ Antwerpen, Edegem, Belgium"
5885,2365,198,Brasschaat,Belgium,"AZ Klina, Brasschaat, Belgium"
5886,2365,199,Tuzla,Bosnia & Herceg,"Heart Ctr BH, Tuzla, Bosnia & Herceg"
5887,2365,200,Tuzla,Bosnia & Herceg,"Univ Med Ctr Tuzla, Tuzla, Bosnia & Herceg"
5888,2365,201,Bihac,Bosnia & Herceg,"Cantonal Hosp Dr Irfan Ljubijank Bihac, Bihac, Bosnia & Herceg"
5889,2365,202,Zenica,Bosnia & Herceg,"Cantonal Hosp Zenica, Zenica, Bosnia & Herceg"
5890,2365,203,Mostar,Bosnia & Herceg,"Univ Clin Hosp Mostar, Mostar, Bosnia & Herceg"
5891,2365,204,Banja Luka,Bosnia & Herceg,"Clin Ctr Banja Luka, Banja Luka, Bosnia & Herceg"
5892,2365,205,Mostar,Bosnia & Herceg,"Reg Med Ctr Dr Safet Mujic, Mostar, Bosnia & Herceg"
5893,2365,206,Belo Horizonte,Brazil,"CARDRESEARCH Cardiol Assistencial Pesquisa, Belo Horizonte, MG, Brazil"
5894,2365,207,Brasilia,Brazil,"Hosp Coracao Brasil, Brasilia, DF, Brazil"
5895,2365,208,Sao Paulo,Brazil,"INCOR Inst Coracao, Sao Paulo, Brazil"
5896,2365,209,Belo Horizonte,Brazil,"Hosp Sao Francisco De Assis, Belo Horizonte, MG, Brazil"
5897,2365,210,Fortaleza,Brazil,"Hosp Univ Walter Cantidio, Fortaleza, Ceara, Brazil"
5898,2365,211,Sao Paulo,Brazil,"Hosp Base Sao Jose do Rio Preto, Sao Paulo, Brazil"
